tier,division,matchid
DIAMOND,I,EUW1_5500810538
DIAMOND,I,EUW1_5499033154
DIAMOND,I,EUW1_5498936760
DIAMOND,I,EUW1_5498923614
DIAMOND,I,EUW1_5498916309
DIAMOND,I,EUW1_5498861842
DIAMOND,I,EUW1_5498756154
DIAMOND,I,EUW1_5497668977
DIAMOND,I,EUW1_5497683514
DIAMOND,I,EUW1_5497618351
DIAMOND,I,EUW1_5497600678
DIAMOND,I,EUW1_5496066825
DIAMOND,I,EUW1_5496073326
DIAMOND,I,EUW1_5495989689
DIAMOND,I,EUW1_5495976504
DIAMOND,I,EUW1_5495419350
DIAMOND,I,EUW1_5494867841
DIAMOND,I,EUW1_5494941130
DIAMOND,I,EUW1_5494767251
DIAMOND,I,EUW1_5494802363
DIAMOND,I,EUW1_5494667133
DIAMOND,I,EUW1_5487072176
DIAMOND,I,EUW1_5486884453
DIAMOND,I,EUW1_5486546386
DIAMOND,I,EUW1_5486551982
DIAMOND,I,EUW1_5534129139
DIAMOND,I,EUW1_5534043756
DIAMOND,I,EUW1_5533876324
DIAMOND,I,EUW1_5532772580
DIAMOND,I,EUW1_5532770706
DIAMOND,I,EUW1_5532718006
DIAMOND,I,EUW1_5532690509
DIAMOND,I,EUW1_5532655941
DIAMOND,I,EUW1_5532602983
DIAMOND,I,EUW1_5532517851
DIAMOND,I,EUW1_5532460676
DIAMOND,I,EUW1_5532433054
DIAMOND,I,EUW1_5532270140
DIAMOND,I,EUW1_5532323198
DIAMOND,I,EUW1_5532178308
DIAMOND,I,EUW1_5532240570
DIAMOND,I,EUW1_5532126297
DIAMOND,I,EUW1_5532081432
DIAMOND,I,EUW1_5532054117
DIAMOND,I,EUW1_5531960183
DIAMOND,I,EUW1_5531866013
DIAMOND,I,EUW1_5531838755
DIAMOND,I,EUW1_5531814650
DIAMOND,I,EUW1_5531782144
DIAMOND,I,EUW1_5530608297
DIAMOND,I,EUW1_5532432860
DIAMOND,I,EUW1_5532357546
DIAMOND,I,EUW1_5532283169
DIAMOND,I,EUW1_5528842505
DIAMOND,I,EUW1_5528755677
DIAMOND,I,EUW1_5524785428
DIAMOND,I,EUW1_5517768099
